google.analytics,software/google
pentaho,data/tools
mondrian,data/tools
qlik,data/tools
\\bjava\\b,software/java
spark,data/tools/spark
storm,data/tools
cassandra,data/tools
real.?time.*(analytics)?,data/real_time
python,software/python
ruby,software/ruby
javascript,software/javascript
\\br\\b,data/r
\\bsas\\b,data/sas
\\bperl\\b,software/perl
innovation,innovation
innovat,innovation
statistic,data/statistics
machine.learning,data/machine_learning
excel,data/excel
big.data,data/big_data
data.mining,data/data_mining
analytics,data/analytics
database,data/databases
mysql,data/databases
postgre,data/databases
sql,data/sql
business,business
test,software/test
job,job
inbound,internet_marketing
linkedin,internet_marketing
design.thinking,innovation
seo,internet_marketing/seo
marketing,business/marketing
sales,business/sales
data.mining,data/analytics
economics,economics
flask,software/python
search.engine,internet_marketing
neo4j,data/nosql
hbase,data/nosql
cassandra,data/nosql
hadoop,data/nosql
mongo,data/nosql
elasticsearch,data/nosql
health,saglik
education,education
social.media,internet_marketing
adobe,software/adobe
computer,software
coder,software
company,business
mobile,software/mobile
probability,data/statistics
programming,software
mathematic,mathematics
auditing,business
facebook,internet_marketing
stock.analysis,business/finance
security.analysis,business/finance
financial,business/finance
management,business
data,data
communication,psychology/communication
interview,psychology/communication
physics,science
minecraft,software/data
mindfulness,psychology
ipad,software/mobile
iphone,software/mobile
six.sigma,business/tqm
fsharp,software/fsharp
computation,software/theory
metrics,business/project
pmp,business/project
vim,software/vim
operations.research,data/machine_learning
public.speaking,psychology/communication
social.psychiatry,psychology/social
social.psychology,psychology/social
tableau,data/visualization
storytelling,psychology/communication
algebra,mathematics
story.mapping,software/analysis
js,software/js
haskell,software/fp
swift,software/mobile
web.design,software/design
d3,data/visualization
infographics,data/visualization
dickens,literature
social.collaboration,software/tools
qlik,data/visualization
empathy,psychology/communication
return.analysis,business/finance
decision.analysis,business/decision
articulate.storyline,software/tools/elearning
dostoyevski,literature
cehov,literature
tolstoy,literature
auster,literature
sabahattin,literature
tamaro,literature
marquez,literature
internet.of.things,software/iot
livingston,literature
thomas.mann,literature
woolf,literature
visual,data/visualization
coding,software
systems.analysis,software/analysis
cloud.computing,software
css,software/web
solohov,literature
psychology,psychology
finance,business/finance
software,software
pandas,data/tools
HBR,business
decision.science,data
intelligence,data
recommender,data
things,software/iot
